book_id	user_id	rate	date
426025	70964582	4	Feb 21, 2019
426025	8734459	5	Jan 31, 2015
426025	30248594	4	Jan 19, 2016
426025	614778	4	Jul 11, 2008
426025	40792319	4	Dec 06, 2015
426025	3025547	5	Oct 12, 2014
426025	89375120	5	Dec 05, 2018
426025	48234354	5	Feb 28, 2017
426025	18877120	5	Feb 14, 2016
426025	23304719	4	Jan 19, 2016
426025	37103769	4	Feb 04, 2016
426025	23905364	4	Oct 09, 2014
426025	72225278	0	Feb 19, 2018
426025	832219	3	Jan 20, 2017
426025	7125124	4	Jul 05, 2014
426025	48026950	4	Oct 20, 2015
426025	87052517	3	Dec 28, 2018
426025	24694245	4	Aug 12, 2017
426025	7555122	5	Feb 14, 2013
426025	31594443	4	Nov 21, 2017
426025	11570887	4	Aug 09, 2017
426025	22063432	5	Jul 04, 2015
426025	30453128	3	Jul 21, 2014
426025	28068856	3	Oct 13, 2017
426025	82345636	3	Dec 22, 2018
426025	4573850	5	Nov 23, 2010
426025	64322904	5	Oct 18, 2017
426025	6435877	2	Sep 27, 2011
426025	30481431	5	Feb 28, 2018
426025	42170704	5	Feb 29, 2016
426025	70964582	4	Feb 21, 2019
426025	8734459	5	Jan 31, 2015
426025	30248594	4	Jan 19, 2016
426025	614778	4	Jul 11, 2008
426025	40792319	4	Dec 06, 2015
426025	3025547	5	Oct 12, 2014
426025	89375120	5	Dec 05, 2018
426025	48234354	5	Feb 28, 2017
426025	18877120	5	Feb 14, 2016
426025	23304719	4	Jan 19, 2016
426025	37103769	4	Feb 04, 2016
426025	23905364	4	Oct 09, 2014
426025	72225278	0	Feb 19, 2018
426025	832219	3	Jan 20, 2017
426025	7125124	4	Jul 05, 2014
426025	48026950	4	Oct 20, 2015
426025	87052517	3	Dec 28, 2018
426025	24694245	4	Aug 12, 2017
426025	7555122	5	Feb 14, 2013
426025	31594443	4	Nov 21, 2017
426025	11570887	4	Aug 09, 2017
426025	22063432	5	Jul 04, 2015
426025	30453128	3	Jul 21, 2014
426025	28068856	3	Oct 13, 2017
426025	82345636	3	Dec 22, 2018
426025	4573850	5	Nov 23, 2010
426025	64322904	5	Oct 18, 2017
426025	6435877	2	Sep 27, 2011
426025	30481431	5	Feb 28, 2018
426025	42170704	5	Feb 29, 2016
426025	70964582	4	Feb 21, 2019
426025	8734459	5	Jan 31, 2015
426025	30248594	4	Jan 19, 2016
426025	614778	4	Jul 11, 2008
426025	40792319	4	Dec 06, 2015
426025	3025547	5	Oct 12, 2014
426025	89375120	5	Dec 05, 2018
426025	48234354	5	Feb 28, 2017
426025	18877120	5	Feb 14, 2016
426025	23304719	4	Jan 19, 2016
426025	37103769	4	Feb 04, 2016
426025	23905364	4	Oct 09, 2014
426025	72225278	0	Feb 19, 2018
426025	832219	3	Jan 20, 2017
426025	7125124	4	Jul 05, 2014
426025	48026950	4	Oct 20, 2015
426025	87052517	3	Dec 28, 2018
426025	24694245	4	Aug 12, 2017
426025	7555122	5	Feb 14, 2013
426025	31594443	4	Nov 21, 2017
426025	11570887	4	Aug 09, 2017
426025	22063432	5	Jul 04, 2015
426025	30453128	3	Jul 21, 2014
426025	28068856	3	Oct 13, 2017
426025	82345636	3	Dec 22, 2018
426025	4573850	5	Nov 23, 2010
426025	64322904	5	Oct 18, 2017
426025	6435877	2	Sep 27, 2011
426025	30481431	5	Feb 28, 2018
426025	42170704	5	Feb 29, 2016
426025	70964582	4	Feb 21, 2019
426025	8734459	5	Jan 31, 2015
426025	30248594	4	Jan 19, 2016
426025	614778	4	Jul 11, 2008
426025	40792319	4	Dec 06, 2015
426025	3025547	5	Oct 12, 2014
426025	89375120	5	Dec 05, 2018
426025	48234354	5	Feb 28, 2017
426025	18877120	5	Feb 14, 2016
426025	23304719	4	Jan 19, 2016
426025	37103769	4	Feb 04, 2016
426025	23905364	4	Oct 09, 2014
426025	72225278	0	Feb 19, 2018
426025	832219	3	Jan 20, 2017
426025	7125124	4	Jul 05, 2014
426025	48026950	4	Oct 20, 2015
426025	87052517	3	Dec 28, 2018
426025	24694245	4	Aug 12, 2017
426025	7555122	5	Feb 14, 2013
426025	31594443	4	Nov 21, 2017
426025	11570887	4	Aug 09, 2017
426025	22063432	5	Jul 04, 2015
426025	30453128	3	Jul 21, 2014
426025	28068856	3	Oct 13, 2017
426025	82345636	3	Dec 22, 2018
426025	4573850	5	Nov 23, 2010
426025	64322904	5	Oct 18, 2017
426025	6435877	2	Sep 27, 2011
426025	30481431	5	Feb 28, 2018
426025	42170704	5	Feb 29, 2016
426025	70964582	4	Feb 21, 2019
426025	8734459	5	Jan 31, 2015
426025	30248594	4	Jan 19, 2016
426025	614778	4	Jul 11, 2008
426025	40792319	4	Dec 06, 2015
426025	3025547	5	Oct 12, 2014
426025	89375120	5	Dec 05, 2018
426025	48234354	5	Feb 28, 2017
426025	18877120	5	Feb 14, 2016
426025	23304719	4	Jan 19, 2016
426025	37103769	4	Feb 04, 2016
426025	23905364	4	Oct 09, 2014
426025	72225278	0	Feb 19, 2018
426025	832219	3	Jan 20, 2017
426025	7125124	4	Jul 05, 2014
426025	48026950	4	Oct 20, 2015
426025	87052517	3	Dec 28, 2018
426025	24694245	4	Aug 12, 2017
426025	7555122	5	Feb 14, 2013
426025	31594443	4	Nov 21, 2017
426025	11570887	4	Aug 09, 2017
426025	22063432	5	Jul 04, 2015
426025	30453128	3	Jul 21, 2014
426025	28068856	3	Oct 13, 2017
426025	82345636	3	Dec 22, 2018
426025	4573850	5	Nov 23, 2010
426025	64322904	5	Oct 18, 2017
426025	6435877	2	Sep 27, 2011
426025	30481431	5	Feb 28, 2018
426025	42170704	5	Feb 29, 2016
2529	614778	3	Oct 11, 2008
2529	6743601	3	Oct 06, 2013
2529	17744555	5	Apr 27, 2018
2529	6431467	3	Sep 24, 2011
2529	36407586	4	May 27, 2016
2529	5463496	0	Dec 28, 2015
2529	42133960	4	Oct 08, 2015
2529	20876630	5	Mar 31, 2019
2529	15850971	4	Dec 07, 2016
2529	28709846	5	Jul 01, 2018
2529	11693335	0	May 09, 2016
2529	4193758	4	Sep 03, 2013
2529	47751188	3	Nov 14, 2016
2529	18184151	4	Jan 01, 2017
2529	23830302	3	Aug 12, 2017
2529	24402798	5	Aug 15, 2016
2529	5267196	5	May 22, 2012
2529	1724209	1	Apr 16, 2017
2529	34132356	3	Aug 22, 2014
2529	33926495	4	May 26, 2017
2529	67137298	5	Apr 22, 2017
2529	75773483	5	Sep 16, 2018
2529	70085742	5	Jan 25, 2018
2529	10311832	4	Feb 15, 2018
2529	19183249	4	Jun 24, 2018
2529	44244742	5	Feb 07, 2016
2529	6055403	3	Aug 15, 2016
2529	16998371	4	Nov 02, 2016
2529	29113059	5	Apr 22, 2017
2529	71011957	4	Mar 17, 2018
2529	614778	3	Oct 11, 2008
2529	6743601	3	Oct 06, 2013
2529	17744555	5	Apr 27, 2018
2529	6431467	3	Sep 24, 2011
2529	36407586	4	May 27, 2016
2529	5463496	0	Dec 28, 2015
2529	42133960	4	Oct 08, 2015
2529	20876630	5	Mar 31, 2019
2529	15850971	4	Dec 07, 2016
2529	28709846	5	Jul 01, 2018
2529	11693335	0	May 09, 2016
2529	4193758	4	Sep 03, 2013
2529	47751188	3	Nov 14, 2016
2529	18184151	4	Jan 01, 2017
2529	23830302	3	Aug 12, 2017
2529	24402798	5	Aug 15, 2016
2529	5267196	5	May 22, 2012
2529	1724209	1	Apr 16, 2017
2529	34132356	3	Aug 22, 2014
2529	33926495	4	May 26, 2017
2529	67137298	5	Apr 22, 2017
2529	75773483	5	Sep 16, 2018
2529	70085742	5	Jan 25, 2018
2529	10311832	4	Feb 15, 2018
2529	19183249	4	Jun 24, 2018
2529	44244742	5	Feb 07, 2016
2529	6055403	3	Aug 15, 2016
2529	16998371	4	Nov 02, 2016
2529	29113059	5	Apr 22, 2017
2529	71011957	4	Mar 17, 2018
2529	614778	3	Oct 11, 2008
2529	6743601	3	Oct 06, 2013
2529	17744555	5	Apr 27, 2018
2529	6431467	3	Sep 24, 2011
2529	36407586	4	May 27, 2016
2529	5463496	0	Dec 28, 2015
2529	42133960	4	Oct 08, 2015
2529	20876630	5	Mar 31, 2019
2529	15850971	4	Dec 07, 2016
2529	28709846	5	Jul 01, 2018
2529	11693335	0	May 09, 2016
2529	4193758	4	Sep 03, 2013
2529	47751188	3	Nov 14, 2016
2529	18184151	4	Jan 01, 2017
2529	23830302	3	Aug 12, 2017
2529	24402798	5	Aug 15, 2016
2529	5267196	5	May 22, 2012
2529	1724209	1	Apr 16, 2017
2529	34132356	3	Aug 22, 2014
2529	33926495	4	May 26, 2017
2529	67137298	5	Apr 22, 2017
2529	75773483	5	Sep 16, 2018
2529	70085742	5	Jan 25, 2018
2529	10311832	4	Feb 15, 2018
2529	19183249	4	Jun 24, 2018
2529	44244742	5	Feb 07, 2016
2529	6055403	3	Aug 15, 2016
2529	16998371	4	Nov 02, 2016
2529	29113059	5	Apr 22, 2017
2529	71011957	4	Mar 17, 2018
2529	614778	3	Oct 11, 2008
2529	6743601	3	Oct 06, 2013
2529	17744555	5	Apr 27, 2018
2529	6431467	3	Sep 24, 2011
2529	36407586	4	May 27, 2016
2529	5463496	0	Dec 28, 2015
2529	42133960	4	Oct 08, 2015
2529	20876630	5	Mar 31, 2019
2529	15850971	4	Dec 07, 2016
2529	28709846	5	Jul 01, 2018
2529	11693335	0	May 09, 2016
2529	4193758	4	Sep 03, 2013
2529	47751188	3	Nov 14, 2016
2529	18184151	4	Jan 01, 2017
2529	23830302	3	Aug 12, 2017
2529	24402798	5	Aug 15, 2016
2529	5267196	5	May 22, 2012
2529	1724209	1	Apr 16, 2017
2529	34132356	3	Aug 22, 2014
2529	33926495	4	May 26, 2017
2529	67137298	5	Apr 22, 2017
2529	75773483	5	Sep 16, 2018
2529	70085742	5	Jan 25, 2018
2529	10311832	4	Feb 15, 2018
2529	19183249	4	Jun 24, 2018
2529	44244742	5	Feb 07, 2016
2529	6055403	3	Aug 15, 2016
2529	16998371	4	Nov 02, 2016
2529	29113059	5	Apr 22, 2017
2529	71011957	4	Mar 17, 2018
2529	614778	3	Oct 11, 2008
2529	6743601	3	Oct 06, 2013
2529	17744555	5	Apr 27, 2018
2529	6431467	3	Sep 24, 2011
2529	36407586	4	May 27, 2016
2529	5463496	0	Dec 28, 2015
2529	42133960	4	Oct 08, 2015
2529	20876630	5	Mar 31, 2019
2529	15850971	4	Dec 07, 2016
2529	28709846	5	Jul 01, 2018
2529	11693335	0	May 09, 2016
2529	4193758	4	Sep 03, 2013
2529	47751188	3	Nov 14, 2016
2529	18184151	4	Jan 01, 2017
2529	23830302	3	Aug 12, 2017
2529	24402798	5	Aug 15, 2016
2529	5267196	5	May 22, 2012
2529	1724209	1	Apr 16, 2017
2529	34132356	3	Aug 22, 2014
2529	33926495	4	May 26, 2017
2529	67137298	5	Apr 22, 2017
2529	75773483	5	Sep 16, 2018
2529	70085742	5	Jan 25, 2018
2529	10311832	4	Feb 15, 2018
2529	19183249	4	Jun 24, 2018
2529	44244742	5	Feb 07, 2016
2529	6055403	3	Aug 15, 2016
2529	16998371	4	Nov 02, 2016
2529	29113059	5	Apr 22, 2017
2529	71011957	4	Mar 17, 2018
5407	26722148	0	Jul 10, 2014
5407	11307916	4	Aug 16, 2013
5407	81897282	5	Jul 21, 2018
5407	14197441	5	Jul 19, 2017
5407	65840914	3	Jan 30, 2018
5407	28491591	5	Sep 07, 2016
5407	1661541	2	Nov 28, 2015
5407	22029319	4	Jul 10, 2013
5407	38791696	5	Apr 06, 2015
5407	874017	4	Feb 04, 2008
5407	6331734	4	Sep 30, 2014
5407	416443	4	Apr 10, 2011
5407	632106	2	Feb 01, 2008
5407	10096670	4	Jan 01, 2013
5407	22106200	4	Jul 17, 2014
5407	13564743	5	Nov 11, 2014
5407	87072018	5	Jan 06, 2019
5407	27641573	4	Jan 13, 2014
5407	53336675	5	Mar 03, 2016
5407	26492161	3	Dec 20, 2013
5407	24684916	3	Jan 30, 2019
5407	4274197	3	Jan 13, 2015
5407	1038367	5	Mar 30, 2008
5407	57889193	3	Jul 26, 2016
5407	40143996	4	Mar 08, 2015
5407	236742	5	Jun 03, 2014
5407	35121589	4	Sep 18, 2014
5407	35150018	4	Jan 29, 2015
5407	6869802	3	Nov 25, 2014
5407	693498	4	Nov 14, 2010
5407	26722148	0	Jul 10, 2014
5407	11307916	4	Aug 16, 2013
5407	81897282	5	Jul 21, 2018
5407	14197441	5	Jul 19, 2017
5407	65840914	3	Jan 30, 2018
5407	28491591	5	Sep 07, 2016
5407	1661541	2	Nov 28, 2015
5407	22029319	4	Jul 10, 2013
5407	38791696	5	Apr 06, 2015
5407	874017	4	Feb 04, 2008
5407	6331734	4	Sep 30, 2014
5407	416443	4	Apr 10, 2011
5407	632106	2	Feb 01, 2008
5407	10096670	4	Jan 01, 2013
5407	22106200	4	Jul 17, 2014
5407	13564743	5	Nov 11, 2014
5407	87072018	5	Jan 06, 2019
5407	27641573	4	Jan 13, 2014
5407	53336675	5	Mar 03, 2016
5407	26492161	3	Dec 20, 2013
5407	24684916	3	Jan 30, 2019
5407	4274197	3	Jan 13, 2015
5407	1038367	5	Mar 30, 2008
5407	57889193	3	Jul 26, 2016
5407	40143996	4	Mar 08, 2015
5407	236742	5	Jun 03, 2014
5407	35121589	4	Sep 18, 2014
5407	35150018	4	Jan 29, 2015
5407	6869802	3	Nov 25, 2014
5407	693498	4	Nov 14, 2010
5407	26722148	0	Jul 10, 2014
5407	11307916	4	Aug 16, 2013
5407	81897282	5	Jul 21, 2018
5407	14197441	5	Jul 19, 2017
5407	65840914	3	Jan 30, 2018
5407	28491591	5	Sep 07, 2016
5407	1661541	2	Nov 28, 2015
5407	22029319	4	Jul 10, 2013
5407	38791696	5	Apr 06, 2015
5407	874017	4	Feb 04, 2008
5407	6331734	4	Sep 30, 2014
5407	416443	4	Apr 10, 2011
5407	632106	2	Feb 01, 2008
5407	10096670	4	Jan 01, 2013
5407	22106200	4	Jul 17, 2014
5407	13564743	5	Nov 11, 2014
5407	87072018	5	Jan 06, 2019
5407	27641573	4	Jan 13, 2014
5407	53336675	5	Mar 03, 2016
5407	26492161	3	Dec 20, 2013
5407	24684916	3	Jan 30, 2019
5407	4274197	3	Jan 13, 2015
5407	1038367	5	Mar 30, 2008
5407	57889193	3	Jul 26, 2016
5407	40143996	4	Mar 08, 2015
5407	236742	5	Jun 03, 2014
5407	35121589	4	Sep 18, 2014
5407	35150018	4	Jan 29, 2015
5407	6869802	3	Nov 25, 2014
5407	693498	4	Nov 14, 2010
5407	26722148	0	Jul 10, 2014
5407	11307916	4	Aug 16, 2013
5407	81897282	5	Jul 21, 2018
5407	14197441	5	Jul 19, 2017
5407	65840914	3	Jan 30, 2018
5407	28491591	5	Sep 07, 2016
5407	1661541	2	Nov 28, 2015
5407	22029319	4	Jul 10, 2013
5407	38791696	5	Apr 06, 2015
5407	874017	4	Feb 04, 2008
5407	6331734	4	Sep 30, 2014
5407	416443	4	Apr 10, 2011
5407	632106	2	Feb 01, 2008
5407	10096670	4	Jan 01, 2013
5407	22106200	4	Jul 17, 2014
5407	13564743	5	Nov 11, 2014
5407	87072018	5	Jan 06, 2019
5407	27641573	4	Jan 13, 2014
5407	53336675	5	Mar 03, 2016
5407	26492161	3	Dec 20, 2013
5407	24684916	3	Jan 30, 2019
5407	4274197	3	Jan 13, 2015
5407	1038367	5	Mar 30, 2008
5407	57889193	3	Jul 26, 2016
5407	40143996	4	Mar 08, 2015
5407	236742	5	Jun 03, 2014
5407	35121589	4	Sep 18, 2014
5407	35150018	4	Jan 29, 2015
5407	6869802	3	Nov 25, 2014
5407	693498	4	Nov 14, 2010
5407	26722148	0	Jul 10, 2014
5407	11307916	4	Aug 16, 2013
5407	81897282	5	Jul 21, 2018
5407	14197441	5	Jul 19, 2017
5407	65840914	3	Jan 30, 2018
5407	28491591	5	Sep 07, 2016
5407	1661541	2	Nov 28, 2015
5407	22029319	4	Jul 10, 2013
5407	38791696	5	Apr 06, 2015
5407	874017	4	Feb 04, 2008
5407	6331734	4	Sep 30, 2014
5407	416443	4	Apr 10, 2011
5407	632106	2	Feb 01, 2008
5407	10096670	4	Jan 01, 2013
5407	22106200	4	Jul 17, 2014
5407	13564743	5	Nov 11, 2014
5407	87072018	5	Jan 06, 2019
5407	27641573	4	Jan 13, 2014
5407	53336675	5	Mar 03, 2016
5407	26492161	3	Dec 20, 2013
5407	24684916	3	Jan 30, 2019
5407	4274197	3	Jan 13, 2015
5407	1038367	5	Mar 30, 2008
5407	57889193	3	Jul 26, 2016
5407	40143996	4	Mar 08, 2015
5407	236742	5	Jun 03, 2014
5407	35121589	4	Sep 18, 2014
5407	35150018	4	Jan 29, 2015
5407	6869802	3	Nov 25, 2014
5407	693498	4	Nov 14, 2010
7022395	59229298	5	May 18, 2018
7022395	614778	4	Jun 18, 2010
7022395	14589233	4	Apr 16, 2014
7022395	12847537	5	Feb 28, 2016
7022395	38330	1	Jan 20, 2014
7022395	2991476	0	Sep 08, 2010
7022395	16679517	1	Jan 30, 2013
7022395	2643532	1	Dec 30, 2009
7022395	28164024	5	Jan 09, 2019
7022395	19752613	3	Apr 24, 2013
7022395	112146	3	Jul 12, 2013
7022395	88591237	5	Nov 15, 2018
7022395	13749315	4	Jun 28, 2017
7022395	60754931	5	Oct 07, 2017
7022395	21483468	3	May 12, 2016
7022395	5003015	4	Mar 06, 2014
7022395	11668822	5	Apr 13, 2018
7022395	84634192	5	Jul 25, 2018
7022395	66819	2	Jul 12, 2011
7022395	85976831	4	Mar 30, 2019
